first_batting,second_batting,ground_name,ball_number,current_ball_run,target,chasing_team_won,cumulative_runs,wickets_remaining
Royal Challengers Bangalore,Chennai Super Kings, Chennai,42,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,43,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,44,4,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,45,4,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,46,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,47,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,48,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,49,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,50,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,51,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,52,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,53,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,54,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,55,4,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,56, OUT,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,57,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,58,2,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,59,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,60,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,61,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,62,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,63,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,64,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,65,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,66,4,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,67,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,68,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,69,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,70,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,71,4,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,72,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,73,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,74,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,75,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,76,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,77,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,78,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,79,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,80,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,80,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,81,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,82,2,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,83,2,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,84,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,85,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,86, OUT,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,87,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,88,2,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,89,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,90,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,91,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,92,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,93,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,94,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,95,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,95,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,96,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,97,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,98,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,99,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,100,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,101,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,102,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,103,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,104,1,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,104,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,105,0,71,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,106,1,71,1,,
